Building Density,UHI Index,B01,B04,B06,B08,B11,LST_Celsius,Surface_Albedo,EVI,UTFVI,NDVI,LSWI,NDBI,ISA,MNDWI,MNDWI_Binary
170.0,1.030288903,846.0,1036.0,1502.0,1906.0,1487.0,38.393941100000006,36.315880398400004,6.161473087818697,0.040453893881320625,0.2957171991842284,0.12348953728264073,-0.12348953728264073,0,-0.17875544986127626,0
170.0,1.030288903,846.0,1036.0,1502.0,1906.0,1487.0,38.393941100000006,36.315880398400004,6.161473087818697,0.040453893881320625,0.2957171991842284,0.12348953728264073,-0.12348953728264073,0,-0.17875544986127626,0
170.0,1.023797758,846.0,709.0,1668.0,2190.0,1465.0,37.78553354000002,35.74154366176002,11.943548387096774,0.023966396199848642,0.5108658157985512,0.19835841313269495,-0.19835841313269495,0,-0.2833990363556724,0
170.0,1.023797758,846.0,657.0,1668.0,2182.0,1465.0,37.78553354000002,35.74154366176002,6.075697211155378,0.023966396199848642,0.5371609721733005,0.19659994516040583,-0.19659994516040583,0,-0.3330300272975432,0
170.0,1.021634043,846.0,745.0,1728.0,2112.0,1544.0,37.35828104000001,35.33821730176001,3.4072781655034894,0.012388097266230235,0.4784739236961848,0.15536105032822758,-0.15536105032822758,0,-0.34965034965034963,0
170.0,1.021634043,846.0,745.0,1728.0,2112.0,1544.0,37.35828104000001,35.33821730176001,3.4072781655034894,0.012388097266230235,0.4784739236961848,0.15536105032822758,-0.15536105032822758,0,-0.34965034965034963,0
170.0,1.015142899,846.0,767.0,1728.0,2354.0,1544.0,37.35828104000001,35.33821730176001,3.6583679114799446,0.012388097266230235,0.5084908683114386,0.2077988712160082,-0.2077988712160082,0,-0.3270305113880533,0
170.0,1.015142899,1152.0,851.0,1769.0,2216.0,1823.0,37.35828104000001,35.33821730176001,3.0052840158520477,0.012388097266230235,0.4450603195304858,0.09730131220599159,-0.09730131220599159,0,-0.3768882175226586,0
170.0,1.012979184,1152.0,835.0,1769.0,2072.0,1823.0,37.09167548000005,35.08654165312005,4.462481962481962,0.005163238731653592,0.4255245958032336,0.06392811296534018,-0.06392811296534018,0,-0.3629906542056075,0
87.0,1.012979184,1152.0,766.0,1460.0,2114.0,1870.0,37.09167548000005,35.08654165312005,21.602564102564102,0.005163238731653592,0.46805555555555556,0.06124497991967871,-0.06124497991967871,0,-0.3629737609329446,0
87.0,1.010815469,1152.0,766.0,1460.0,2114.0,1870.0,37.09167548000005,35.08654165312005,21.602564102564102,0.005163238731653592,0.46805555555555556,0.06124497991967871,-0.06124497991967871,0,-0.3629737609329446,0
87.0,1.010815469,1152.0,759.0,1460.0,1658.0,1870.0,37.09167548000005,35.08654165312005,8.232600732600732,0.005163238731653592,0.37194869673148534,-0.060090702947845805,0.060090702947845805,1,-0.4049586776859504,0
87.0,1.010815469,1152.0,743.0,1720.0,1360.0,2508.0,37.06433132000001,35.06072876608001,3.4937712344280865,0.004422227599900918,0.29339039467427486,-0.296794208893485,0.296794208893485,1,-0.5553488372093023,0
87.0,1.010815469,1152.0,1160.0,1327.0,1874.0,1805.0,36.70202119999999,34.71870801279999,5.409090909090909,-0.0053961698958077745,0.23533289386947923,0.018755096493612396,-0.018755096493612396,0,-0.22830894862198026,0
87.0,1.010815469,1326.0,1570.0,2028.0,2020.0,2486.0,36.70202119999999,34.71870801279999,11.13861386138614,-0.0053961698958077745,0.12534818941504178,-0.10341766533510874,0.10341766533510874,1,-0.24362181090545273,0
87.0,1.010815469,1326.0,1618.0,2028.0,1936.0,2486.0,37.09509350000002,35.08976826400002,-2.338235294117647,0.005255865123121714,0.08947664603263927,-0.12437810945273632,0.12437810945273632,1,-0.21743388834476005,0
87.0,1.010815469,1326.0,1618.0,2028.0,1936.0,2486.0,37.09509350000002,35.08976826400002,-2.338235294117647,0.005255865123121714,0.08947664603263927,-0.12437810945273632,0.12437810945273632,1,-0.21743388834476005,0
87.0,1.010815469,1326.0,1260.0,1785.0,1716.0,2295.0,37.09509350000002,35.08976826400002,-1.875,0.005255865123121714,0.1532258064516129,-0.1443530291697831,0.1443530291697831,1,-0.27041239966786607,0
87.0,1.010815469,1326.0,2334.0,1785.0,2770.0,2295.0,37.09509350000002,35.08976826400002,-4.954545454545455,0.005255865123121714,0.08542319749216301,0.09378084896347483,-0.09378084896347483,0,-0.006358254768691077,0
87.0,1.010815469,1326.0,2334.0,1785.0,2770.0,2295.0,37.09509350000002,35.08976826400002,-4.954545454545455,0.005255865123121714,0.08542319749216301,0.09378084896347483,-0.09378084896347483,0,-0.006358254768691077,0
87.0,1.012979184,1326.0,1646.0,1785.0,1850.0,2295.0,37.09509350000002,35.08976826400002,0.794392523364486,0.005255865123121714,0.05835240274599542,-0.10735826296743065,0.10735826296743065,1,-0.216538563477339,0
87.0,1.012979184,1326.0,1354.0,1628.0,1562.0,1972.0,37.443731540000044,35.41888257376005,-8.253968253968253,0.01470375705295484,0.07133058984910837,-0.11601584606677985,0.11601584606677985,1,-0.20537897310513448,0
87.0,1.012979184,1326.0,1354.0,1628.0,1562.0,1972.0,37.443731540000044,35.41888257376005,-8.253968253968253,0.01470375705295484,0.07133058984910837,-0.11601584606677985,0.11601584606677985,1,-0.20537897310513448,0
87.0,1.012979184,959.0,2256.0,2288.0,2610.0,2336.0,37.443731540000044,35.41888257376005,1.5747330960854091,0.01470375705295484,0.07274969173859433,0.05539830165790538,-0.05539830165790538,0,-0.05845038513819665,0
87.0,1.012979184,732.0,2380.0,2343.0,2678.0,2156.0,37.443731540000044,35.41888257376005,-0.5206149545772187,0.01470375705295484,0.05891656781336497,0.10798510550268929,-0.10798510550268929,0,0.0642361111111111,1
87.0,1.012979184,732.0,2380.0,2343.0,2678.0,2156.0,37.443731540000044,35.41888257376005,-0.5206149545772187,0.01470375705295484,0.05891656781336497,0.10798510550268929,-0.10798510550268929,0,0.0642361111111111,1
87.0,1.012979184,732.0,1320.0,2343.0,2556.0,2156.0,37.495001839999986,35.46728173695999,3.351409978308026,0.016093152924987447,0.3188854489164087,0.08488964346349745,-0.08488964346349745,0,-0.2571428571428571,0
87.0,1.012979184,732.0,717.0,2045.0,2630.0,1557.0,37.495001839999986,35.46728173695999,6.166989039329465,0.016093152924987447,0.5715566178667464,0.2562694053021256,-0.2562694053021256,0,-0.30950378469301937,0
87.0,1.012979184,732.0,717.0,2045.0,2630.0,1557.0,37.495001839999986,35.46728173695999,6.166989039329465,0.016093152924987447,0.5715566178667464,0.2562694053021256,-0.2562694053021256,0,-0.30950378469301937,0
87.0,1.012979184,732.0,800.0,2045.0,2214.0,1557.0,37.334354899999994,35.3156310256,7.943820224719102,0.011739712525947221,0.46914399469143997,0.17422434367541767,-0.17422434367541767,0,-0.279901356350185,0
87.0,1.012979184,732.0,977.0,1644.0,1656.0,1641.0,37.334354899999994,35.3156310256,2.9191745485812555,0.011739712525947221,0.25788074439802505,0.004549590536851683,-0.004549590536851683,0,-0.2790335151987529,0
87.0,1.015142899,732.0,977.0,1644.0,1656.0,1641.0,37.334354899999994,35.3156310256,2.9191745485812555,0.011739712525947221,0.25788074439802505,0.004549590536851683,-0.004549590536851683,0,-0.2790335151987529,0
87.0,1.015263105,732.0,836.0,1644.0,1570.0,1641.0,37.334354899999994,35.3156310256,-19.214659685863875,0.011739712525947221,0.3050706566916043,-0.022111491747119277,0.022111491747119277,1,-0.2962085308056872,0
87.0,1.015263105,732.0,836.0,1644.0,1570.0,1641.0,37.334354899999994,35.3156310256,-19.214659685863875,0.011739712525947221,0.3050706566916043,-0.022111491747119277,0.022111491747119277,1,-0.2962085308056872,0
87.0,1.019590535,849.0,840.0,1513.0,1796.0,1905.0,37.327518860000055,35.30917780384005,-5.0262881177707674,0.011554459743010979,0.3626707132018209,-0.029451499594704136,0.029451499594704136,1,-0.3229166666666667,0
87.0,1.019590535,849.0,840.0,1513.0,1796.0,1905.0,37.327518860000055,35.30917780384005,-5.0262881177707674,0.011554459743010979,0.3626707132018209,-0.029451499594704136,0.029451499594704136,1,-0.3229166666666667,0
87.0,1.02175425,849.0,1638.0,2083.0,1938.0,2270.0,37.327518860000055,35.30917780384005,1.6968325791855206,0.011554459743010979,0.08389261744966443,-0.07889733840304182,0.07889733840304182,1,-0.20105820105820105,0
87.0,1.02175425,849.0,1638.0,2083.0,1938.0,2270.0,37.327518860000055,35.30917780384005,1.6968325791855206,0.011554459743010979,0.08389261744966443,-0.07889733840304182,0.07889733840304182,1,-0.20105820105820105,0
87.0,1.023917965,849.0,1322.0,1852.0,1822.0,1884.0,37.28650262000002,35.27045847328002,-2.4752475247524752,0.010442943045382735,0.15903307888040713,-0.01672962763086886,0.01672962763086886,1,-0.15867158671586715,0
87.0,1.02175425,849.0,1200.0,1852.0,2256.0,1884.0,37.28650262000002,35.27045847328002,1.9033886085075702,0.010442943045382735,0.3055555555555556,0.08985507246376812,-0.08985507246376812,0,-0.27297297297297296,0
87.0,1.02175425,849.0,1050.0,1674.0,1880.0,1816.0,37.28650262000002,35.27045847328002,3.2245532245532242,0.010442943045382735,0.2832764505119454,0.017316017316017316,-0.017316017316017316,0,-0.28748670684154554,0
87.0,1.019590535,1136.0,731.0,2171.0,1998.0,2035.0,37.99061474000001,35.935140314560016,4.83587786259542,0.02952397968798523,0.46427262733602054,-0.009174311926605505,0.009174311926605505,1,-0.4540907466952483,0
87.0,1.019590535,1136.0,731.0,2171.0,1998.0,2035.0,37.99061474000001,35.935140314560016,4.83587786259542,0.02952397968798523,0.46427262733602054,-0.009174311926605505,0.009174311926605505,1,-0.4540907466952483,0
87.0,1.019590535,1136.0,608.0,2171.0,2800.0,2035.0,37.99061474000001,35.935140314560016,3.889283179559971,0.02952397968798523,0.6431924882629108,0.15822130299896586,-0.15822130299896586,0,-0.5035094200221648,0
